"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABHD13",78.5132139476335,-0.911631976493347,0.0880681128167767,8.4970136838358e-27,7.69246569305189e-23
"DENND4B",743.014342762559,0.551278374223576,0.0521269963708828,1.03502270248712e-26,7.69246569305189e-23
"GAK",701.410951624365,0.583863116878046,0.0553978289487521,1.29032133514988e-26,7.69246569305189e-23
"ARHGAP45",1644.09252704884,0.715667451084891,0.0714265858448948,1.28389479200787e-24,5.7406145887652e-21
"MED15",723.301576543686,0.566946490021035,0.05656194262806,2.96321985560966e-24,1.05994374235157e-20
"TBC1D22A",398.413315405613,0.529941734278452,0.052923461092706,3.93457701834509e-24,1.17283183288503e-20
"PRRC2A",1149.99682938719,0.666743256574604,0.0674043423666589,6.35190226122557e-24,1.62291102774313e-20
"KRR1",230.596691716432,-0.666467297627547,0.0677032172309634,1.02305450347546e-23,2.28716622433232e-20
"TSC2",371.639535591184,0.630736887158108,0.0641595722416913,1.44350834876849e-23,2.86857186863605e-20
"SCAF1",268.893535256898,0.878089201876547,0.0919187315502229,3.45116756629064e-23,6.1724131923108e-20
"TET3",238.49857156615,1.53626939534556,0.223097169939077,3.96612013121292e-23,6.44855077697664e-20
"MFSD12",265.646286194924,0.690445834555156,0.0714970637845199,5.52319324901369e-23,8.23185927155082e-20
"SIPA1",1077.21433776417,0.786458220411424,0.0823597463405183,7.92611265449682e-23,1.09045019096674e-19
"PHRF1",311.660158984065,0.722662654291722,0.0760080776302367,1.88246211951183e-22,2.24452233383127e-19
"ZNF451",308.263847375284,-0.488650102855115,0.0506492831145754,1.78547894852444e-22,2.24452233383127e-19
"SLC38A10",505.835778205587,0.726580351052471,0.0774215063119079,5.90576478022538e-22,6.60153769339568e-19
"PLEKHM2",316.133802173068,0.598164983550669,0.0633601591019759,7.68534184214535e-22,8.0854316968688e-19
"FBRSL1",410.815717420813,0.824568033631291,0.0890171836620131,8.69085219013507e-22,8.63532730114254e-19
"SUZ12",133.247029144852,-0.647450148938708,0.068978308059307,9.71730474564309e-22,9.1470523882014e-19
"CHERP",213.12496451439,0.647860265140234,0.0692753319356848,1.34087060545157e-21,1.14197479897625e-18
"RAP1B",597.116686278314,-0.566913200780442,0.0602811523976925,1.279965892096e-21,1.14197479897625e-18
