"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TET3",238.49857156615,1.53626939534556,0.223097169939077,3.96612013121292e-23,6.44855077697664e-20
"ZFHX3",3712.19052332968,-4.31312213514411,0.463563344572457,3.79246484925462e-21,2.5926563016433e-18
"FAM83A",249.451443114272,-2.20861412271853,0.25077593620793,5.90047884300739e-20,3.01514468877678e-17
"MEIS2",49.0101276338688,-2.922095228573,0.395378539145696,5.21376159070478e-14,5.20939251674609e-12
"BRINP2",5.08518867051284,-5.1952427402591,0.719221907813623,7.32743146798348e-14,6.86131475418244e-12
"VKORC1L1",103.601219793365,-1.01011414592402,0.156868880034041,1.88801846788878e-13,1.52917700288208e-11
"DMXL1",120.850666234924,-1.11986732631525,0.216900751636912,1.75335779608831e-12,1.08884736746665e-10
"EGR3",80.61450924963,-2.81855532629802,0.426932520016935,3.56912576994916e-12,2.00735265394782e-10
"RELN",7.74733698481753,-3.4505509350603,0.50917461067308,3.96071747590823e-12,2.19992025020555e-10
"WDR74",1624.26924265549,-1.18742888061816,0.278178730698193,8.15421035429149e-12,4.10811414609868e-10
"PTCH2",28.2684283257834,-1.36152758519717,0.38284476718095,1.27115147872682e-11,5.99856047415016e-10
"SCAF8",77.7542473792247,-1.62435649937833,0.469286774017237,1.99657251879294e-11,9.20327306665252e-10
"HOXC12",2.93007165132567,-4.61658036661038,0.734992066633877,6.13774087877888e-11,2.41260429927385e-09
"DRD4",7.93823666747299,1.08281251462455,0.251363354656643,1.90079493832848e-10,6.26072144972465e-09
"SKOR2",3.96014527750619,-4.05056059725125,0.68287860166489,4.22158709570716e-10,1.25838475344538e-08
"IGF2",10.8963712625662,1.64467275860157,0.663442133166736,8.15205417336497e-09,1.64188613615577e-07
"JPH3",32.9150861894744,-1.43906630181125,0.77292640369556,2.15633535767702e-07,2.97348171719765e-06
"PKNOX2",11.5439816199299,-1.03491324128622,0.471544874183128,3.93830168360954e-07,5.03118040081119e-06
"FEZF2",62.9973973005242,-3.23775829919418,1.82526022966141,1.69660413305384e-06,1.79655209707922e-05
