"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"BRINP2",5.08518867051284,-5.1952427402591,0.719221907813623,7.32743146798348e-14,6.86131475418244e-12
"HOXC12",2.93007165132567,-4.61658036661038,0.734992066633877,6.13774087877888e-11,2.41260429927385e-09
"ZFHX3",3712.19052332968,-4.31312213514411,0.463563344572457,3.79246484925462e-21,2.5926563016433e-18
"SKOR2",3.96014527750619,-4.05056059725125,0.68287860166489,4.22158709570716e-10,1.25838475344538e-08
"RELN",7.74733698481753,-3.4505509350603,0.50917461067308,3.96071747590823e-12,2.19992025020555e-10
"FEZF2",62.9973973005242,-3.23775829919418,1.82526022966141,1.69660413305384e-06,1.79655209707922e-05
"MEIS2",49.0101276338688,-2.922095228573,0.395378539145696,5.21376159070478e-14,5.20939251674609e-12
"EGR3",80.61450924963,-2.81855532629802,0.426932520016935,3.56912576994916e-12,2.00735265394782e-10
"FAM83A",249.451443114272,-2.20861412271853,0.25077593620793,5.90047884300739e-20,3.01514468877678e-17
"SCAF8",77.7542473792247,-1.62435649937833,0.469286774017237,1.99657251879294e-11,9.20327306665252e-10
"JPH3",32.9150861894744,-1.43906630181125,0.77292640369556,2.15633535767702e-07,2.97348171719765e-06
"PTCH2",28.2684283257834,-1.36152758519717,0.38284476718095,1.27115147872682e-11,5.99856047415016e-10
"WDR74",1624.26924265549,-1.18742888061816,0.278178730698193,8.15421035429149e-12,4.10811414609868e-10
"DMXL1",120.850666234924,-1.11986732631525,0.216900751636912,1.75335779608831e-12,1.08884736746665e-10
"PKNOX2",11.5439816199299,-1.03491324128622,0.471544874183128,3.93830168360954e-07,5.03118040081119e-06
