"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"IGF2",10.8963712625662,1.64467275860157,0.663442133166736,8.15205417336497e-09,1.64188613615577e-07
"TET3",238.49857156615,1.53626939534556,0.223097169939077,3.96612013121292e-23,6.44855077697664e-20
"DRD4",7.93823666747299,1.08281251462455,0.251363354656643,1.90079493832848e-10,6.26072144972465e-09
"BICRA",72.0208479590525,0.985775801528195,0.210050480504826,1.20110732720101e-09,3.17778173772042e-08
"SAPCD2P3",3.2159130586675,0.934439008208842,0.421343574065754,1.37120161491916e-06,1.4791279181441e-05
"NPIPB7",61.9030339924291,0.926844406470929,0.125844896455434,2.0814569329511e-15,3.05138174146151e-13
"GRN",1539.48364995872,0.924488068847782,0.118154626346257,6.82035274758524e-17,1.48758547427515e-14
"CIITA",360.519976660047,0.907788290392856,0.12901848760142,2.76614303449389e-14,2.94478977213829e-12
"FASN",165.678244706531,0.895175386366308,0.127814986866849,4.06718028099042e-14,4.15665824717221e-12
"FOXO4",109.694690444166,0.894317753756368,0.267320740942521,4.19253278454331e-07,5.30816607395378e-06
"SCAF1",268.893535256898,0.878089201876547,0.0919187315502229,3.45116756629064e-23,6.1724131923108e-20
"RPL29",98.2503756889556,0.877451686421915,0.238988231565552,3.50447430472108e-07,4.53856067631691e-06
"WDR86",33.8332718554241,0.874301657088152,0.15192175659017,1.25270181951546e-10,4.43654891921464e-09
"MMP17",35.0020447863269,0.873993624892048,0.174042775457182,4.89228966507918e-09,1.0542000079511e-07
"PLD4",59.0685234117743,0.85996882362914,0.164911027391572,2.49987239857344e-09,5.85979264069278e-08
